DrugMaster_ID	SourceSystem_Code	Drug_Code	DrugMaster_Code	Drug_Description	AltDrug_Description	Manufacturer_Name	Form_Code	Strength_Code	PackSize_Qty	OriginalDrug_Description	Universal_Code	GenericDrugType_Code	Schedule_Code	GenNHS_Code	Generic_Name	Type_Code	Class_Code	PBS_Code	PackMultiplier_Number	OverridePackSize_Qty	Processed	AutoDMC_Code	FailureType_Code	Created_DateTime	LastUpdate_DateTime	Mapped_DateTime	PBSItemValid					
571538	AMFAC	14122_1	!UNMAPPED	VITAMIN D3 PWDR 100,000IU/G, 0.5G 1	VITAMIN D3 POWDER INTERNAL 100,000IU/G, 0.5G 1	P3	POWDER INTERNAL	100,000IU/G, 0.5G	1	VITAMIN D3 PWDR 100,000IU/G, 0.5G 1	NULL	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	19:56.3	33:37.2	NULL	0					
572324	AMFAC	14124_1	!UNMAPPED	VITAMIN D3 PWDR 100,000IU/G, 2G 1	VITAMIN D3 POWDER INTERNAL 100,000IU/G, 2G 1	P3	POWDER INTERNAL	100,000IU/G, 2G	1	VITAMIN D3 PWDR 100,000IU/G, 2G 1	NULL	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	30:25.9	32:09.8	NULL	0					
572325	AMFAC	14126_1	!UNMAPPED	VITAMIN D3 OIL 50,000IU/ML, 1ML 1	VITAMIN D3 OIL 50,000IU/ML, 1ML 6	P3	OIL	50,000IU/ML, 1ML	1	VITAMIN D3 OIL 50,000IU/ML, 1ML 1	NULL	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	30:25.9	33:33.3	NULL	0					
572326	AMFAC	14127_1	!UNMAPPED	VITAMIN D3 OIL 150,000IU/ML, 1ML 1	VITAMIN D3 OIL 150,000IU/ML, 1ML 1	P3	OIL	150,000IU/ML, 1ML	1	VITAMIN D3 OIL 150,000IU/ML, 1ML 1	NULL	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	30:25.9	33:48.5	NULL	0					
502833	AMFAC	14128_1	!UNMAPPED	VITAMIN D3 OIL 200,000IU/ML, 1ML 1	VITAMIN D3 OIL 200,000IU/ML, 1ML 1	P3	OIL	200,000IU/ML, 1ML	1	VITAMIN D3 OIL 200,000IU/ML, 1ML 1	NULL	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	02:53.9	37:56.7	NULL	0					
576005	AMFAC	14152_50	!UNMAPPED	ATIVAN TABLETS 1MG (BOTTLE) 50	ATIVAN TABLETS 1MG (BOTTLE) 50	AY	TABLETS	1MG (BOTTLE)	50	ATIVAN TABLETS 1MG (BOTTLE) 50	9316626609338	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	51:47.9	33:33.3	NULL	0					
576007	AMFAC	14159_50	!UNMAPPED	ATIVAN TABLETS 2.5MG (BOTTLE) 50	LORAZEPAM TABLETS 2.5MG (BOTTLE) 50	AY	TABLETS	2.5MG (BOTTLE)	50	ATIVAN TABLETS 2.5MG (BOTTLE) 50	9316626609345	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	ATV2	14	51:47.9	33:33.3	31:59.3	0					
672875	AMFAC	14171_1	!UNMAPPED	OMNITROPE SUREPAL 5 INJECTION 5MG 1	OMNITROPE SUREPAL 5 INJECTION 5MG 5	SZ	INJECTION	5MG	1	OMNITROPE SUREPAL 5 INJECTION 5MG 1	9322838010725	PRI	4	NULL	NULL	PRI	NULL	10507B	NULL	NULL	NULL	NULL	NULL	35:48.6	34:36.4	NULL	1					
672895	AMFAC	14233_1	ToAsk	OSTIRA INFUSION IV 5MG/100ML 1	OSTIRA INFUSION IV 5MG/100ML 1	HH	INFUSION IV	5MG/100ML	1	OSTIRA INFUSION IV 5MG/100ML 1	9342758001610	CON	4	9288W	10555M	CON	NULL	9288W	NULL	NULL	NULL	NULL	NULL	49:31.7	34:36.1	NULL	1					
588271	AMFAC	14313_5	!UNMAPPED	SAXENDA INJECTION 18MG/3ML (PEN) 5	SAXENDA INJECTION 18MG/3ML (PEN) 5	NO	INJECTION	18MG/3ML (PEN)	5	SAXENDA INJECTION 18MG/3ML (PEN) 5	9324627002072	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	04:52.7	33:08.6	NULL	0					
584915	AMFAC	14320_1	!UNMAPPED	HYMENOPTERA HONEY BEE VENOM INJ 550MCG 1	HYMENOPTERA HONEY BEE VENOM INJECTION 550MCG 1	DE	INJECTION	550MCG	1	HYMENOPTERA HONEY BEE VENOM INJ 550MCG 1	9999012446	GEN	4	10621B	10621B	GEN	NULL	10621B	NULL	NULL	NULL	HHBV1	14	55:04.6	34:36.1	06:21.5	1					
673608	AMFAC	14423_20	!UNMAPPED	APOHEALTH SLEEP ASSIST TABLETS 25MG 20	DOXYLAMINE SUCC TABLETS 25MG 20	TX	TABLETS	25MG	20	APOHEALTH SLEEP ASSIST TABLETS 25MG 20	9338475023592	PRI	3	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	30:35.2	NULL	NULL	0					
593707	AMFAC	14430_3	!UNMAPPED	AMCAL FAMCICLOVIR ONCE TABLETS 500MG 3	FAMCICLOVIR TABLETS 500MG 3	A1	TABLETS	500MG	3	AMCAL FAMCICLOVIR ONCE TABLETS 500MG 3	9314567205817	PRI	3	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	14:15.3	33:49.0	NULL	0					
672337	AMFAC	14437_30	INPL2	INPLER TABLETS 50MG 30	INPLER TABLETS 50MG 30	AF	TABLETS	50MG	30	INPLER TABLETS 50MG 30	9323610011916	CON	4	8880J	8880J	CON	NULL	8880J	NULL	NULL	NULL	NULL	NULL	38:45.2	34:36.1	NULL	1					
605473	AMFAC	14450_1	!UNMAPPED	ESOMEPRAZOLE SANDOZ HP7 CPACK 1	ESOMEPRAZOLE SANDOZ HP7 COMPOSITE PACK 1	SZ	COMPOSITE PACK	NULL	1	ESOMEPRAZOLE SANDOZ HP7 CPACK 1	9322838010497	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	53:18.7	NULL	NULL	0					
673061	AMFAC	14474_90	!UNMAPPED	ACARBOSE MYLAN TABLETS 50MG 90	ACARBOSE TABLETS 50MG 90	AF	TABLETS	50MG	90	ACARBOSE MYLAN TABLETS 50MG 90	9323610011602	REE	4	NULL	NULL	REE	NULL	8188Y	NULL	NULL	NULL	NULL	NULL	06:17.3	34:36.4	NULL	1					
673241	AMFAC	14476_4	!UNMAPPED	ONDANSETRON ODT GH TAB-DISI 4MG 4	ONDANSETRON TABLETS DISINTEGRATING 4MG 4	GQ	TABLETS DISINTEGRATING	4MG	4	ONDANSETRON ODT GH TAB-DISI 4MG 4	9334926003359	ENT	4	8410P	5470X	ENT	NULL	8410P	NULL	NULL	NULL	NULL	NULL	28:32.3	34:36.1	NULL	1					
673018	AMFAC	14478_4	!UNMAPPED	ONDANSETRON ODT GH TAB-DISI 8MG 4	ONDANSETRON TABLETS DISINTEGRATING 8MG 4	GQ	TABLETS DISINTEGRATING	8MG	4	ONDANSETRON ODT GH TAB-DISI 8MG 4	9334926003373	PRP	4	NULL	NULL	PRP	NULL	5471Y	NULL	NULL	NULL	NULL	NULL	24:45.5	34:36.4	NULL	1					
673418	AMFAC	14479_10	!UNMAPPED	ONDANSETRON ODT GH TAB-DISI 8MG 10	ONDANSETRON ODT GH TABLETS DISINTEGRATING 8MG 10	GQ	TABLETS DISINTEGRATING	8MG	10	ONDANSETRON ODT GH TAB-DISI 8MG 10	9334926003380	CON	4	8413T	5473C	CON	NULL	8413T	NULL	NULL	NULL	NULL	NULL	07:57.9	34:36.1	NULL	1					
604019	AMFAC	14504_1	!UNMAPPED	DIFFERIN CREAM 0.1%, 50G 1	DIFFERIN CREAM 0.1%, 50G 1	GA	CREAM	0.1%, 50G	1	DIFFERIN CREAM 0.1%, 50G 1	9318637043729	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	DIFF8	14	48:28.8	32:11.7	45:19.7	0					
673065	AMFAC	14508_60	!UNMAPPED	APO-QUETIAPINE XR TABLETS MR 200MG 60	QUETIAPINE FUMARATE TABLETS MR 200MG 60	TX	TABLETS MR	200MG	60	APO-QUETIAPINE XR TABLETS MR 200MG 60	9338475025145	CON	4	9203J	9203J	CON	NULL	9203J	NULL	NULL	NULL	NULL	NULL	35:37.4	34:36.1	NULL	1					
673248	AMFAC	14515_25	!UNMAPPED	APO-DOMPERIDONE TABLETS 10MG 25	APO-DOMPERIDONE TABLETS 10MG 100	TX	TABLETS	10MG	25	APO-DOMPERIDONE TABLETS 10MG 25	9338475025831	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	07:07.8	NULL	NULL	0					
673066	AMFAC	14522_28	!UNMAPPED	ATOMOXETINE AMNEAL CAPSULES 40MG 28	ATOMOXETINE AMNEAL CAPSULES 40MG 56	EA	CAPSULES	40MG	28	ATOMOXETINE AMNEAL CAPSULES 40MG 28	9346697006422	GEN	4	9095Q	9095Q	GEN	NULL	9095Q	NULL	NULL	NULL	NULL	NULL	35:37.4	34:36.1	NULL	1					
673449	AMFAC	14532_30	!UNMAPPED	APO-PERINDOPRIL ARGININE/AMLODIPINE 5 30	APO-PERINDOPRIL ARGININE/AMLODIPINE TABLETS 5MG-10MG 180	TX	TABLETS	5MG-10MG	30	APO-PERINDOPRIL ARGININE/AMLODIPINE 5 30	9338475020843	GEN	4	9347Y	9347Y	GEN	NULL	9347Y	NULL	NULL	NULL	NULL	NULL	30:40.2	34:36.1	NULL	1					
673456	AMFAC	14574_1	!UNMAPPED	ARGINAID SACHET 9.2G, 14, ORANGE 1	ARGINAID SACHET 9.2G, 14, ORANGE 1	NT	SACHET	9.2G, 14, ORANGE	1	ARGINAID SACHET 9.2G, 14, ORANGE 1	43900359830	PRI	0	NULL	NULL	PRI	NULL	10850C	NULL	NULL	NULL	NULL	NULL	22:02.0	34:36.4	NULL	1					
414390	AMFAC	1570_1	!UNMAPPED	*  0	OMRON BLOOD PRESSURE MONITOR HEM-7121	NULL	NULL	NULL	1	BLANK S8 EXTEMP *  0	NULL	PRI	0	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	30:14.3	33:33.3	NULL	0					
414391	AMFAC	1571_1	!UNMAPPED	BLANK S8 EXTEMP 1	RAPIGEL	NULL	NULL	NULL	1	*  0	9310185685215	PRI	0	0001A	0001A	PRI	NULL	NULL	NULL	NULL	NULL	NULL	7	30:14.3	33:08.6	NULL	0					
414397	AMFAC	1572_1	!UNMAPPED	*  0	BLANK REPAT READY-PREPARED	NULL	NULL	NULL	1	BLANK S8 EXTEMP 1	NULL	CON	0	V99F	V99F	CON	NULL	NULL	NULL	NULL	NULL	NULL	NULL	45:16.4	33:33.3	NULL	0					
414398	AMFAC	1574_1	!UNMAPPED	*  0	IMPROMY	NULL	NULL	NULL	1	BLANK S3R	NULL	PRI	3	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	3	45:16.4	33:33.3	NULL	0					
414401	AMFAC	1576_1	!UNMAPPED	BLANK S8 EXTEMP 1	SUSTAGEN HOSPITAL FORMULA CHOCOLATE 840G	NULL	NULL	NULL	1	BLANK S8 EXTEMP *  0	NULL	REP	0	V99F	V99F	REP	NULL	NULL	NULL	NULL	NULL	NULL	NULL	00:30.6	33:08.6	NULL	0					
414393	AMFAC	1799_100	!UNMAPPED	*  0	LPC 3%, SALICYLIC ACID 3% IN AQUEOUS CREAM	NULL	CREAM	NULL	100	BLANK S8 EXTEMP *  0	NULL	CON	0	13Q	13Q	CON	NULL	NULL	NULL	NULL	NULL	!UNMAPPED	14	30:14.3	33:33.3	00:03.7	0					
414399	AMFAC	1827_100	!UNMAPPED	*  0	CREAM NON-PBS CREAM	NULL	CREAM	NULL	100	BLANK S8 EXTEMP 1	NULL	CON	0	13Q	NULL	CON	NULL	NULL	NULL	NULL	NULL	NULL	3	45:16.4	33:33.3	NULL	0					
672596	AMFAC	21063|35011	!UNMAPPED	VIT D3	VIT D3 CAPSULES 30000 6	NULL	CAPSULES	30000	0	VIT D3	NULL	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42:00.5	NULL	NULL	0					
414411	AMFAC	2297_15	!UNMAPPED	BLANK S8 EXTEMP 1	SODIUM BICARBONATE EAR DROP APF	NULL	EAR DROPS	NULL	15	BLANK S8 EXTEMP IRRIGATION SOLUTION 1	NULL	CON	0	15T	15T	CON	NULL	NULL	NULL	NULL	NULL	NULL	NULL	59:39.8	32:00.6	NULL	0					
13914	AMFAC	2404_60	!UNMAPPED	CENTRUM TABLETS 60	CENTRUM TABLETS 60	WT	Tablets	NULL	60	CENTRUM TABLETS 60	9310488013739	PRI	0	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	5	NULL	32:00.6	NULL	0					
672819	AMFAC	3323_100	ME29	METHNINE TABLETS 500MG 100	METHIONINE TABLETS 500MG 100	MR	TABLETS	500MG	100	METHNINE TABLETS 500MG 100	9318670000017	PRI	0	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	27:42.0	NULL	NULL	0					
4225	AMFAC	3807_1	!UNMAPPED	PANADOL DROPS 100MG/ML, 20ML 1	PANADOL DROPS 100MG/ML, 20ML 1	GC	DROPS	100MG/ML, 20ML	1	PANADOL DROPS 100MG/ML, 20ML 1	9300673460820	PRI	2	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	7	NULL	32:36.7	NULL	0					
107432	AMFAC	4636_1	!UNMAPPED	SUSTAGEN CHOCOLATE PWDR 900G 1	SUSTAGEN CHOCOLATE POWDER INTERNAL 900G 4	NV	Powder Internal	900g	1	SUSTAGEN CHOCOLATE PWDR 900G 1	7613035243477	REP	0	V99FB	NULL	REP	NULL	NULL	NULL	NULL	NULL	NULL	5	NULL	33:33.3	NULL	0					
10621	AMFAC	6977_1	!UNMAPPED	ANDROFORTE CREAM 5%, 50ML 1	ANDROFORTE CREAM 5%, 50ML 1	LX	Cream	5%, 50mL	1	ANDROFORTE CREAM 5%, 50ML 1	9369999052614	PRI	4	10378F	10378F	PRI	NULL	10378F	NULL	NULL	NULL	NULL	5	NULL	34:36.1	NULL	1					
110282	AMFAC	7790_5	!UNMAPPED	MIDAZOLAM AMPOULE 5MG/1ML 5	MIDAZOLAM AMPOULE 5MG/1ML 10	HH	AMPOULE	5MG/1ML	5	MIDAZOLAM AMPOULE 5MG/1ML 5	9310160805300	PRI	4	NULL	NULL	PRI	NULL	4302K	NULL	NULL	NULL	NULL	5	NULL	34:36.4	NULL	1					
93636	AMFAC	9915_10	!UNMAPPED	BUSCOPAN FORTE TABLETS 20MG 10	BUSCOPAN FORTE TABLETS 20MG 10	BY	TABLETS	20MG	10	BUSCOPAN FORTE TABLETS 20MG 10	9310717300173	PRI	2	9365X	9365X	PRI	NULL	9365X	NULL	NULL	NULL	NULL	9	NULL	34:36.1	NULL	1					
672511	AMFAC	B000-B528A4F7F01FF80E627E6DF0741EC8AA	!UNMAPPED	BIO-OIL APPLICATION 1	BIO-OIL APPLICATION 1	NULL	APPLICATION	NULL	0	BIO-OIL APPLICATION 1	NULL	PRI	NULL	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	21:30.4	NULL	NULL	0					
367812	AMFAC	B452-0C3693446F719741D76A66E1B8D63027	!UNMAPPED	BLANK S8 EXTEMP 1	OLMETEC PLUS TABLETS 40MG-25MG 30	UA	EYE DROPS	0.50%	0	BLANK S8 EXTEMP 1	9336666007857	CON	4	2170F	8973G	CON	NULL	2170F	NULL	NULL	NULL	NULL	7	NULL	34:36.1	NULL	1					
605483	AMFAC	C315-2339CB24B32FE71E21BC11AF37DD4AE0	!UNMAPPED	CODAPANE XTRA TABLETS 500MG/15MG 40	PARACETAMOL/CODEINE TABLETS 500MG/15MG 24	AF	TABLETS	500MG/15MG	0	CODAPANE XTRA TABLETS 500MG/15MG 40	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	53:18.8	NULL	NULL	0					
673689	AMFAC	C454-58A9C0D67960E482DE00DCEA5C7A2611	!UNMAPPED	COLONLYTELY ORIGINAL POWDER INTERNAL 1	COLONLYTELY ORIGINAL POWDER INTERNAL 1	NULL	POWDER INTERNAL	NULL	0	COLONLYTELY ORIGINAL POWDER INTERNAL 1	NULL	PRI	NULL	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	36:37.0	NULL	NULL	0					
672879	AMFAC	D652-DE22EDEF9F6B5F31BD704644B3FB7572	!UNMAPPED	DERMEZE OINTMENT 500G OINTMENT 1	DERMEZE OINTMENT 500G OINTMENT 1	NULL	OINTMENT	NULL	0	DERMEZE OINTMENT 500G OINTMENT 1	NULL	PRI	NULL	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	05:48.1	NULL	NULL	0					
673304	AMFAC	G125-D9CD22ECA0FED6C924EC5EA13EF39B6B	!UNMAPPED	GAVISCON DS MIXTURE 500ML 1	GAVISCON DS MIXTURE 500ML 1	RC	MIXTURE	500ML	0	GAVISCON DS MIXTURE 500ML 1	9300631990406	PRI	NULL	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	01:04.5	NULL	NULL	0					
603969	AMFAC	H50000|16628	!UNMAPPED	BONDRONAT	BONDRONAT TABLETS 50MG 28	NULL	TABLETS	250MCG	0	BONDRONAT	NULL	GEN	4	9357L	NULL	GEN	NULL	9357L	NULL	NULL	NULL	NULL	NULL	01:37.3	34:36.1	NULL	1					
603974	AMFAC	H50000|18405	!UNMAPPED	ATACAND PLUS	CANDESART-CILEX/HCT TABLETS 32MG-25MG 30	NULL	TABLETS	20MG-12.5MG	0	ATACAND PLUS	NULL	CON	4	9315G	NULL	CON	NULL	9315G	NULL	NULL	NULL	ATAC7	14	11:47.4	34:36.1	45:19.5	1					
603976	AMFAC	H50000|19960	!UNMAPPED	PRADAXA	PRADAXA CAPSULES 150MG 60	NULL	TABLETS DISINTEGRATING	8MG	0	PRADAXA	NULL	CON	4	2769R	NULL	CON	NULL	2769R	NULL	NULL	NULL	PRAD5	14	11:47.4	34:36.1	45:20.0	1					
603970	AMFAC	H50000|25816	!UNMAPPED	CAVSTAT	CAVSTAT TABLETS 10MG 30	NULL	TABLETS	8MG	0	CAVSTAT	NULL	CON	4	2584B	NULL	CON	NULL	2584B	NULL	NULL	NULL	NULL	NULL	01:37.3	34:36.1	NULL	1					
603971	AMFAC	H50000|26401	!UNMAPPED	PRITOR PLUS	PRITOR PLUS TABLETS 80MG-12.5MG 28	NULL	COMPOSITE PACK	10MG + 40MG	0	PRITOR PLUS	NULL	GEN	4	8623W	NULL	GEN	NULL	8623W	NULL	NULL	NULL	!UNMAPPED	14	01:37.3	34:36.1	03:44.4	1					
368257	AMFAC	0000-C78953BC233F14905F3AC6DE453AB4F7	!UNMAPPED	*  0	CORTIVAL 1/2 CREAM 0.05%, 15G 1		TABLETS	25MG	0	*  0	9313109812254	GEN	4	2813C	NULL	GEN	NULL	2813C	NULL	NULL	NULL	NULL	1	NULL	34:36.1	55:59.4	1					
12394	AMFAC	10936_28	!UNMAPPED	OMACOR CAPSULES 1G 28	OMACOR CAPSULES 1G 28	GO	CAPSULES	1G	28	OMACOR CAPSULES 1G 28	9331103000965	PRI	4	V99FB	NULL	PRI	NULL	2430X	NULL	NULL	NULL	NULL	7	NULL	34:36.4	NULL	1					
5986	AMFAC	11162_1	ToAsk	PREVENAR 13 PREFILLED SYRINGE 0.5ML 1	PREVENAR 13 PREFILLED SYRINGE 0.5ML 1	WY	PREFILLED SYRINGE	0.5ML	1	PREVENAR 13 PREFILLED SYRINGE 0.5ML 1	9315850002083	PRI	4	NULL	NULL	PRI	NULL	5471Y	NULL	NULL	NULL	NULL	5	NULL	34:36.4	NULL	1					
404404	AMFAC	11386_1	!UNMAPPED	NORDITROPIN VIAL 15MG, FLEXPRO 1	NORDITROPIN VIAL 15MG, FLEXPRO 3	NO	VIAL	15MG, FLEXPRO	1	NORDITROPIN VIAL 15MG, FLEXPRO 1	9324627001693	PRI	4	NULL	NULL	PRI	NULL	5820H	NULL	NULL	NULL	NULL	5	32:20.6	34:36.4	NULL	1					
377852	AMFAC	12153_30	!UNMAPPED	RAFEN PLUS TABLETS 200-12.8MG 30	RAFEN PLUS TABLETS 200-12.8MG 30	AF	TABLETS	200-12.8MG	30	RAFEN PLUS TABLETS 200-12.8MG 30	9323610006967	PRI	3	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	7	46:03.5	33:08.6	NULL	0					
388039	AMFAC	12203_1	!UNMAPPED	CANESTEN PLUS CREAM 1%-1%, 30G 1	CANESTEN PLUS CREAM 1%-1%, 30G 1	BN	CREAM	1%-1%, 30G	1	CANESTEN PLUS CREAM 1%-1%, 30G 1	9310160819826	PRI	3	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	7	37:08.5	32:36.7	NULL	0					
391125	AMFAC	12282_1	!UNMAPPED	TAMIFLU ORAL SOLUTION 6MG/ML, 65ML 1	TAMIFLU ORAL SOLUTION 6MG/ML, 65ML 1	RO	ORAL SOLUTION	6MG/ML, 65ML	1	TAMIFLU ORAL SOLUTION 6MG/ML, 65ML 1	7640149610642	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	7	40:49.0	33:10.6	NULL	0					
672552	AMFAC	12916_30	!UNMAPPED	PREXUM TABLETS 10MG 30	PREXUM TABLETS 10MG 30	RX	TABLETS	10MG	30	PREXUM TABLETS 10MG 30	9316731000129	CON	4	9008D	9008D	CON	NULL	9008D	NULL	NULL	NULL	NULL	NULL	41:35.1	34:36.1	NULL	1					
418255	AMFAC	13049_1	!UNMAPPED	OPTIFRESH TEARS E 5MG/ML, 0.4ML30 1	OPTIFRESH TEARS EYE DROPS 5MG/ML, 0.4ML30 3	PP	EYE DROPS	5MG/ML, 0.4ML30	1	OPTIFRESH TEARS E 5MG/ML, 0.4ML30 1	9323857000575	CON	0	2338C	2338C	CON	NULL	2338C	NULL	NULL	NULL	NULL	NULL	50:22.9	33:33.3	NULL	1					
418266	AMFAC	13068_1	!UNMAPPED	BEXSERO PREFILLED SYRINGE 0.5ML 1	BEXSERO PREFILLED SYRINGE 0.5ML 1	NV	PREFILLED SYRINGE	0.5ML	1	BEXSERO PREFILLED SYRINGE 0.5ML 1	9319099003474	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	50:22.9	33:38.3	NULL	0					
479347	AMFAC	13819_1	!UNMAPPED	VITAMIN D3 OIL 100,000IU/ML, 1ML 1	VITAMIN D3 OIL 100,000IU/ML, 1ML 1	P3	OIL	100,000IU/ML, 1ML	1	VITAMIN D3 OIL 100,000IU/ML,1ML 1	NULL	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	02:59.2	33:33.3	NULL	0					
