DrugMaster_ID	SourceSystem_Code	Drug_Code	DrugMaster_Code	Drug_Description	AltDrug_Description	OriginalDrug_Description	Universal_Code	GenericDrugType_Code	Schedule_Code	Manufacturer_Name	GenNHS_Code	Form_Code	Strength_Code	Generic_Name	PackSize_Qty	Type_Code	Class_Code	PBS_Code	PackMultiplier_Number	OverridePackSize_Qty	Processed	AutoDMC_Code	FailureType_Code	Created_DateTime	LastUpdate_DateTime	Mapped_DateTime	PBSItemValid	Column 28
NULL	ZDISPENSE	72862603-7015-4F3C-82B0-FAD729118B06	!UNMAPPED	THYROID PORCINE 1/2 GR CAPS 100	THYROID PORCINE 1/2 GR CAPS 100	THYROID PORCINE 1/2 GR CAPS 100	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	829D0A90-DA1A-46C3-8A33-8A81FCF9A812	!UNMAPPED	CODEINE LINCTUS 100ML           CRA	CODEINE LINCTUS 100ML           CRA	CODEINE LINCTUS 100ML           CRA	9315676001703	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	90B0C403-EC70-4BA3-9679-1571AFE52F03	!UNMAPPED	CLAIROL H/ESS S/POO TOUSLE M	CLAIROL H/ESS S/POO TOUSLE M	CLAIROL H/ESS S/POO TOUSLE M	4902430307703	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	9E70305C-EC32-4556-BF2D-C6B889BFCC0A	!UNMAPPED	FUT 524500 ANKLE SPRT ADJ NP	FUT 524500 ANKLE SPRT ADJ NP	FUT 524500 ANKLE SPRT ADJ NP	382255245000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	B1F962EE-FF29-4DC0-80B9-1995DC6BA37D	!UNMAPPED	T4	T4 CAPSULES 25MCG	T4	NULL	NULL	NULL	NULL	NULL	CAPSULES	25MCG	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	C3C6D0C6-4A19-47E4-B935-033FB724F28D	!UNMAPPED	ACTIVANCE EVERYDAY SHAMPOO 250ML	ACTIVANCE EVERYDAY SHAMPOO 250ML	ACTIVANCE EVERYDAY SHAMPOO 250ML	9336222000193	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	D7514681-19F8-4E54-A373-11531A73916C	!UNMAPPED	BEDSOCKS	BEDSOCKS	BEDSOCKS	9340447016907	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E902BCA9-F4AF-4D7C-8CB5-29645E3A42C3	!UNMAPPED	DHEA/PROG	DHEA/PROG CAPSULES MR 10/150 MG	DHEA/PROG	NULL	NULL	NULL	NULL	NULL	CAPSULES MR	10/150 MG	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	F6C2CD6A-2A0F-4DA2-93CA-0D164AD4ED09	!UNMAPPED	CM NAT FIBRE PSYLLIUM CAP 160 CAP (6)	CM NAT FIBRE PSYLLIUM CAP 160 CAP (6)	CM NAT FIBRE PSYLLIUM CAP 160 CAP (6)	9316100902856	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	D7AA4016-8873-46BA-913E-F3C1742673B5	!UNMAPPED	CODEINE LINCTUS APF 100	CODEINE LINCTUS APF 100	CODEINE LINCTUS APF 100	466948	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	D852099B-E8EE-4FB5-9A40-2AD031642225	!UNMAPPED	EAR PLUG HUSH REG  6257	EAR PLUG HUSH REG  6257	EAR PLUG HUSH REG  6257	9313776062570	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	D8D99CE7-7A8D-410C-B0E6-921DF39773B1	!UNMAPPED	VICKS THERM DIGITAL SPEED READ V911	VICKS THERM DIGITAL SPEED READ V911	VICKS THERM DIGITAL SPEED READ V911	328785009125	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DA83952C-AB50-47AB-ACEE-1636042F2FF4	!UNMAPPED	PERINDOPRIL ARGININE APO	PERINDOPRIL ARGININE APO TABLETS 10MG	PERINDOPRIL ARGININE APO	NULL	NULL	NULL	TX	NULL	TABLETS	10MG	NULL	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DA8F1075-B4E0-4AA5-8E22-73A9C801E297	!UNMAPPED	BIOCEUTICALS VITAMIN D3 CAP 60	BIOCEUTICALS VITAMIN D3 CAP 60	BIOCEUTICALS VITAMIN D3 CAP 60	9337896000120	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DA8F6679-E913-4879-A9BF-16A1E00BC364	!UNMAPPED	GILLETTE C/W S/GEL SS195G	GILLETTE C/W S/GEL SS195G	GILLETTE SHV/GEL SENS/SKN 200M (3)	3014260214692	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DA9BFC32-0B74-467B-9F2C-7B3348B7A85C	!UNMAPPED	BD SYR 1 0ML SC 29X12 7MM BX10	BD SYR 1 0ML SC 29X12 7MM BX10	BD SYR 1 0ML SC 29X12 7MM BX10	382903261109	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DA9E603A-1256-43F4-864B-87BAFC248AD4	!UNMAPPED	JOJOBA YOUTH POTION 50ML	JOJOBA YOUTH POTION 50ML	JOJOBA YOUTH POTION 50ML	9342126001136	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DB455D33-D487-4296-BBB9-A011AEDF8AB2	!UNMAPPED	ORAL B SUPERFLOSS 50(1)	ORAL B SUPERFLOSS 50(1)	ORAL B SUPERFLOSS 50(1)	300410825522	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DB604495-6003-4D55-A52F-9B9868AE82B4	!UNMAPPED	PHCY CARE C&F D&N TAB24	PHCY CARE C&F D&N TAB24	PHCY CARE C&F D&N TAB24	9341571005324	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DBF51F91-5661-4B00-8EED-6FC7200542C8	!UNMAPPED	LIGNOCAINE PRILOCAINE TETRACAINE	LIGNOCAINE PRILOCAINE TETRACAINE CREAM 5% 3% 3%	LIGNOCAINE PRILOCAINE TETRACAINE	NULL	NULL	NULL	NULL	NULL	CREAM	5% 3% 3%	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DC09BD79-2E5A-4D38-88EE-7DD7A900B680	!UNMAPPED	SCHICK HYDRO 3 BLADES 4	SCHICK HYDRO 3 BLADES 4	SCHICK HYDRO 3 BLADES 4	6937266703069	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DC145568-EECE-4AD2-9C1D-9423B10E8DBB	!UNMAPPED	CEN B COMPLEX 150 TAB	CEN B COMPLEX 150 TAB	CEN B COMPLEX 150 TAB	9300705605380	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DC20B39F-3DE8-4AE8-A4B2-54D069A78F06	!UNMAPPED	BD LANCET MICROFINE 31G X 5MM (1)	BD LANCET MICROFINE 31G X 5MM (1)	BD LANCET MICROFINE 31G X 5MM (1)	382903204700	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DC5FEC46-3796-475B-8181-D7EB441D98E8	!UNMAPPED	MICROPORE 1 TAPE 25MM	MICROPORE 1 TAPE 25MM	MICROPORE 1 TAPE 25MM	696617	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DCDCA616-4046-4CB0-A867-288CF9DB2448	!UNMAPPED	BF BROTHERS BLEND 200G (8)	BF BROTHERS BLEND 200G (8)	BF BROTHERS BLEND 200G (8)	9326847000920	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DE3EFB83-A543-4289-BB7D-EFD200A50D6B	!UNMAPPED	LOREAL ELNETT H/SPRAY NORM	LOR ELNETT H/SPRAY NORM	LOREAL ELNETT H/SPRAY NORM	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DE5A017A-D58F-40F2-9AEB-0E5330B45027	!UNMAPPED	TEST	TEST	TEST	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DE6B38C1-DE47-4F66-A00D-BFF58A7F4C8F	!UNMAPPED	CLEAR TOTAL NOURISH CARE S/P	CLEAR TOTAL NOURISH CARE S/P	CLEAR TOTAL NOURISH CARE S/P	9300830016624	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DE9A5320-4856-479F-B4D9-260B9B850748	!UNMAPPED	PHCY CARE PARACODEINE 500/10MG TAB 40	PHCY CARE PARACODEINE 500/10MG TAB 40	PHCY CARE PARACODEINE 500/10MG TAB 40	9341571005492	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DEA0A140-E92E-4218-8B6E-3EEECD738336	!UNMAPPED	SOX 3 PAIRS $12	SOX HOT KEY INCL 3 PAIRS	SOX 3 PAIRS $12	9340447027828	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DED9A248-F971-4D4E-B024-44A4765DFF09	!UNMAPPED	FLUQUADRI	FLUQUADRI	FLUQUADRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DEEFF495-C7E1-47B4-83A1-56E7C7D59FCB	!UNMAPPED	HYDROCORTISONE	HYDROCORTISONE CREAM 2.5%	HYDROCORTISONE	NULL	NULL	NULL	NULL	NULL	CREAM	2.5%	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	DF35DAD8-0847-4381-A532-EA97C0EAFA7A	!UNMAPPED	CLAIROL H/ESS COND TOUSLE ME	CLAIROL H/ESS COND TOUSLE ME	CLAIROL H/ESS COND TOUSLE ME	4902430307710	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E00CF007-F2B7-4914-B78E-D109C1D92406	!UNMAPPED	MICROLAX ENEMA SINGLE (3)	MICROLAX ENEMA SINGLE (3)	MICROLAX ENEMA SINGLE (3)	552265962	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E025C938-80FD-464D-A68E-CC84ECB127E0	!UNMAPPED	GASTROLYTE RTD ORANGE 1L	GASTROLYTE RTD ORANGE 1L	GASTROLYTE RTD ORANGE 1L	9319733002740	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E0474AC2-35E3-4731-8F85-5CE5928EBA90	!UNMAPPED	DHEA  15MG CAPS 100	DHEA  15MG CAPS 100	DHEA  15MG CAPS 100	939237	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E0A364E0-113E-4899-945F-1AED321458A3	!UNMAPPED	CALTRATE PLUS 600MG 120S	CALTRATE PLUS 600MG 120S	CALTRATE PLUS 600MG 120S	9310488020331	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E1374FDA-B67E-4598-93F7-23F3823B6C53	!UNMAPPED	VITA-D 1000IU CAP	VITA-D 1000IU CAP	VITA-D 1000IU CAP	233797	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E1555FD3-EE01-419D-81F1-CD2028A2BAF2	!UNMAPPED	PHCY CARE FEMINA V 6 DAY 35G	PHCY CARE FEMINA V 6 DAY 35G	PHCY CARE FEMINA V 6 DAY 35G	9341571004938	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E2DD4D56-C39E-4FA5-84F6-BE1F1F76A57C	!UNMAPPED	PHCY CARE SENEGA&AMMON 200ML	PHCY CARE SENEGA&AMMON 200ML	PHCY CARE SENEGA&AMMON 200ML	9341571003337	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E2E381CB-BBFB-411B-B151-8E77EF4D773A	!UNMAPPED	MG CARTON TAB 16.5X7.5 23	MG CARTON TAB 16.5X7.5 23	MG CARTON TAB 16.5X7.5 23	19314536001614	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E30CFFE7-D7D5-4C60-AFDD-9224FA055A08	!UNMAPPED	OSTELIN 1000 GEL CAP 25MCG 60	OSTELIN 1000 GEL CAP 25MCG 60	OSTELIN 1000 GEL CAP 25MCG 60	9300711028005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E37185E5-A2BA-4F3C-B50F-9A63F1AEBFF9	!UNMAPPED	HCORT 1%, HQUIN 7% RET 0.05% PROP GLY/ET	HCORT 1%, HQUIN 7% RET 0.05% PROP GLY/ET LOTION	HCORT 1%, HQUIN 7% RET 0.05% PROP GLY/ET	NULL	NULL	NULL	NULL	NULL	LOTION	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E38682A9-BC3F-4DC8-A40B-1BB48C8EE78E	!UNMAPPED	GLUTAGENICS 230G	GLUTAGENICS 230G	GLUTAGENICS 230G	9315771008997	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E504678E-7A0A-4D59-A02D-E62CA3D44DDC	!UNMAPPED	PC ANTI INFLAM GEL 50G	PC ANTI INFLAM GEL 50G	PC ANTI INFLAM GEL 50G	9341571009148	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E53669CD-2F0C-4AA0-89F2-D5208F58A00A	!UNMAPPED	PHCY CARE COLD & FLU DAY/NIGHT 24 TABS	PHCY CARE COLD & FLU DAY/NIGHT 24 TABS	PHCY CARE COLD & FLU DAY/NIGHT 24 TABS	9341571005324	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E5465B22-52F3-4819-B932-6E3D69CCFB85	!UNMAPPED	BLISTEX LIP COND BALM SPF20 4.25G	BLISTEX LIP COND BALM SPF20 4.25G	BLISTEX LIP COND BALM SPF20 4.25G	9313501031956	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E5A7CAA0-7ECD-4861-805A-5B785CBAD272	!UNMAPPED	DP VITAMIN D 5,000IU CAPSULES 60	DP VITAMIN D 5,000IU CAPSULES 60	DP VITAMIN D 5,000IU CAPSULES 60	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E5D6B39D-85C5-43D2-BC85-243DC3E475AF	!UNMAPPED	OMPERAZOLE 2MG/ML	OMPERAZOLE 2MG/ML	OMPERAZOLE 2MG/ML	854377	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E6AC0D8F-9970-4848-A684-E47CC9DE4EBB	!UNMAPPED	DHEA/PROG	DHEA/PROG TROCHES 12.5/300 MG	DHEA/PROG	NULL	NULL	NULL	NULL	NULL	TROCHES	12.5/300 MG	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E7B5D068-4826-4EAE-9310-E40240F9299B	!UNMAPPED	DAA (DOSE ADMIN AID)  : WEEKLY	DAA (DOSE ADMIN AID) FILL FEE : SACHET	DAA (DOSE ADMIN AID)  : WEEKLY	40000131390100001	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E7BDFC34-82E5-4ED1-A7E8-EA1AAB42BFFB	!UNMAPPED	WHITE SOFT PARAFFIN BP	WHITE SOFT PARAFFIN BP OINTMENT 50G	WHITE SOFT PARAFFIN BP	NULL	NULL	NULL	NULL	NULL	OINTMENT	50G	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E7F91106-08C1-42D1-8F90-95B4B90F80AE	!UNMAPPED	METACARD Q10 X60	METACARD Q10 X60	METACARD Q10 X60	9315771007648	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E8CBBDCF-5461-433C-BEF2-B176D890F5FC	!UNMAPPED	BIEST TESTOSTERONE	BIEST TESTOSTERONE CREAM 0.6% 0.1%	BIEST TESTOSTERONE	NULL	NULL	NULL	NULL	NULL	CREAM	0.6% 0.1%	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E9D8CE2D-A073-457D-BF57-C9FF7CC90EBB	!UNMAPPED	CHLORHEXIDINE CET AQ	CHLORHEXIDINE CET AQ IRRIG SOLN 0.05%-0.5% 30ML	CHLORHEXIDINE CET AQ	9316795000301	NULL	NULL	NULL	NULL	IRRIG SOLN	0.05%-0.5%	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	E9EF8093-C9B3-4CFC-8D94-F4D1E227E939	!UNMAPPED	CLOBETASOL PROPIONATE 0.1% VERSABASE LOT	CLOBETASOL PROPIONATE 0.1% VERSABASE LOT LOTION	CLOBETASOL PROPIONATE 0.1% VERSABASE LOT	NULL	NULL	NULL	NULL	NULL	LOTION	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	EA4BED12-F85C-48F6-B341-7C1AA7A36A85	!UNMAPPED	CRYSTADERM F/AID CRM 25G	CRYSTADERM F/AID CRM 25G	CRYSTADERM F/AID CRM 25G	9340404000932	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	EA9D1901-82DD-4BFD-B891-C975033FA51E	!UNMAPPED	MUSTELA FOAM SPOO FOR N/BN 1	MUSTELA FOAM SPOO FOR N/BN 1	MUSTELA FOAM SPOO FOR N/BN 1	3504105023980	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
